id,college_id,course_name,specialization,normalized_category,min_percentage,jee_percentile,,,,,,,,,,
154,28,B.Tech,Civil,CIVIL,50,0,,,,,,,,,,
155,28,B.Tech,Mechanical & Aerospace,MECHANICAL,50,0,,,,,,,,,,
156,28,B.Tech,Electronics VLSI,ELECTRONICS,50,0,,,,,,,,,,
157,28,B.Tech,Robotics ,ROBOTICS,50,0,,,,,,,,,,
158,28,B.Tech,Biotechnology,BIOTECH,50,0,,,,,,,,,,
159,28,B.Tech,ECE,ELECTRONICS,50,0,,,,,,,,,,
160,28,B.Tech,Mathematics & Computing,OTHER,50,0,,,,,,,,,,
161,29,B.Tech,Computer Science and Engineering,CSE_CORE,60,0,,,,,,,,,,
162,29,B.Tech,Food Technology Engineering,OTHER,60,0,,,,,,,,,,
163,29,B.Tech,Aerospace Engineering,OTHER,60,0,,,,,,,,,,
164,29,B.Tech,Biotechnology,BIOTECH,60,0,,,,,,,,,,
165,30,B.Tech,CSE,OTHER,60,0,,,,,,,,,,
166,30,B.Tech,Artificial Intelligence & Machine Learning,CSE_AI_ML,60,0,,,,,,,,,,
167,30,B.Tech,Cyber Security,CYBER_SECURITY,60,0,,,,,,,,,,
168,30,B.Tech,Data Science,DATA_SCIENCE,60,0,,,,,,,,,,
169,30,B.Tech,ECE,ELECTRONICS,60,0,,,,,,,,,,
170,30,B.Tech,Mechanical Engineering,MECHANICAL,60,0,,,,,,,,,,
171,30,B.Tech,Artificial Intelligence,CSE_AI_ML,60,0,,,,,,,,,,
172,31,B.Tech,CSE (AI & Future Tech),OTHER,60,0,,,,,,,,,,
173,31,B.Tech,CSE (AI & ML),CSE_AI_ML,60,0,,,,,,,,,,
174,31,B.Tech,ECE,ELECTRONICS,60,0,,,,,,,,,,
175,31,B.Tech,Electrical Engineering,ELECTRICAL,60,0,,,,,,,,,,
176,31,B.Tech,Electrical (Minor CSE),ELECTRICAL,60,0,,,,,,,,,,
177,31,B.Tech,Mechanical Engineering,MECHANICAL,60,0,,,,,,,,,,
178,31,B.Tech,Mechanical (Minor CSE),MECHANICAL,60,0,,,,,,,,,,
179,31,B.Tech,Automobile Engineering,MECHANICAL,60,0,,,,,,,,,,
180,31,B.Tech,Smart Manufacturing,OTHER,60,0,,,,,,,,,,
181,31,B.Tech,Mechatronics,MECHANICAL,60,0,,,,,,,,,,
182,31,B.Tech,Civil (AI & ML),CSE_AI_ML,60,0,,,,,,,,,,
183,32,B.Tech,CSE,OTHER,45,0,,,,,,,,,,
184,32,B.Tech,CSE (AI & ML),CSE_AI_ML,45,0,,,,,,,,,,
185,32,B.Tech,CSE (Data Science),DATA_SCIENCE,45,0,,,,,,,,,,
186,32,B.Tech,IT,OTHER,45,0,,,,,,,,,,
187,32,B.Tech,ECE,ELECTRONICS,45,0,,,,,,,,,,
188,33,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
189,33,B.Tech,CSE (AI & ML),CSE_AI_ML,50,0,,,,,,,,,,
190,33,B.Tech,Cyber Security,CYBER_SECURITY,50,0,,,,,,,,,,
191,33,B.Tech,Civil,CIVIL,50,0,,,,,,,,,,
192,33,B.Tech,Mechanical,MECHANICAL,50,0,,,,,,,,,,
193,34,B.Tech,CSE,OTHER,45,0,,,,,,,,,,
194,34,B.Tech,CSE (AI & ML),CSE_AI_ML,45,0,,,,,,,,,,
195,34,B.Tech,CSE (Data Science),DATA_SCIENCE,45,0,,,,,,,,,,
196,34,B.Tech,ECE,ELECTRONICS,45,0,,,,,,,,,,
197,34,B.Tech,Mechanical,MECHANICAL,45,0,,,,,,,,,,
198,35,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
199,35,B.Tech,CSE (AI & ML),CSE_AI_ML,50,0,,,,,,,,,,
200,35,B.Tech,Civil,CIVIL,45,0,,,,,,,,,,
201,35,B.Tech,Mechanical,MECHANICAL,45,0,,,,,,,,,,
202,36,B.Tech,CSE,OTHER,45,0,,,,,,,,,,
203,36,B.Tech,CSE (AI),OTHER,45,0,,,,,,,,,,
204,36,B.Tech,ECE,ELECTRONICS,45,0,,,,,,,,,,
205,37,B.Tech,CSE,OTHER,60,0,,,,,,,,,,
206,37,B.Tech,IT,OTHER,60,0,,,,,,,,,,
207,37,B.Tech,ECE,ELECTRONICS,50,0,,,,,,,,,,
208,37,B.Tech,Mechanical,MECHANICAL,50,0,,,,,,,,,,
209,38,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
210,39,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
211,39,B.Tech,CSE (AI & DS),DATA_SCIENCE,50,0,,,,,,,,,,
212,39,B.Tech,Mechanical,MECHANICAL,50,0,,,,,,,,,,
213,40,B.Tech,CSE,OTHER,45,0,,,,,,,,,,
214,40,B.Tech,AI,OTHER,45,0,,,,,,,,,,
215,40,B.Tech,Civil,CIVIL,45,0,,,,,,,,,,
216,41,B.Tech,CSE,OTHER,45,0,,,,,,,,,,
217,41,B.Tech,IT,OTHER,45,0,,,,,,,,,,
218,41,B.Tech,Robotics,ROBOTICS,45,0,,,,,,,,,,
219,42,B.Tech,CSE,OTHER,60,0,,,,,,,,,,
220,42,B.Tech,CSE (AI & ML),CSE_AI_ML,60,0,,,,,,,,,,
221,42,B.Tech,ECE(IoT),ELECTRONICS,60,0,,,,,,,,,,
222,43,B.Tech,CSE,OTHER,60,0,,,,,,,,,,
223,43,B.Tech,CSE (AI & ML),CSE_AI_ML,60,0,,,,,,,,,,
224,43,B.Tech,Mechanical,MECHANICAL,60,0,,,,,,,,,,
225,44,B.Tech,CSE,OTHER,60,0,,,,,,,,,,
226,44,B.Tech,CSE (AI & ML),CSE_AI_ML,60,0,,,,,,,,,,
227,45,B.Tech,CSE,OTHER,60,0,,,,,,,,,,
228,45,B.Tech,ECE,ELECTRONICS,60,0,,,,,,,,,,
229,46,B.Tech,CSE,OTHER,60,0,,,,,,,,,,
230,46,B.Tech,CSE (AI & ML),CSE_AI_ML,60,0,,,,,,,,,,
231,46,B.Tech,Electronics & Computer Engg,ELECTRONICS,60,0,,,,,,,,,,
232,47,B.Tech,Computer Science,CSE_CORE,60,0,,,,,,,,,,
233,47,B.Tech,Electronics & Communication (VLSI),ELECTRONICS,60,0,,,,,,,,,,
234,47,B.Tech,CSE (AIML),CSE_AI_ML,60,0,,,,,,,,,,
235,48,B.Tech,ECE,ELECTRONICS,50,0,,,,,,,,,,
236,48,B.Tech,EEE,ELECTRICAL,50,0,,,,,,,,,,
237,48,B.Tech,Mechanical,MECHANICAL,50,0,,,,,,,,,,
238,48,B.Tech,Civil,CIVIL,50,0,,,,,,,,,,
239,48,B.Tech,Automobile,MECHANICAL,50,0,,,,,,,,,,
240,48,B.Tech,Mining,OTHER,50,0,,,,,,,,,,
241,49,B.Tech,Civil,CIVIL,50,0,,,,,,,,,,
242,49,B.Tech,Electrical,ELECTRICAL,50,0,,,,,,,,,,
243,49,B.Tech,Mechanical,MECHANICAL,50,0,,,,,,,,,,
244,49,B.Tech,Petroleum,OTHER,50,0,,,,,,,,,,
245,49,B.Tech,Biotechnology,BIOTECH,50,0,,,,,,,,,,
246,49,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
