id,college_id,criteria_type,min_value,max_value,scholarship_percent,scholarship_type,stackable,priority
160,63,JEE_PERCENTILE,90,94.99,35,PERCENT,TRUE,2
161,63,JEE_PERCENTILE,85,89.99,25,PERCENT,TRUE,3
162,64,JEE_RANK,1,50000,100,PERCENT,TRUE,1
163,64,JEE_RANK,50001,100000,75,PERCENT,TRUE,2
164,64,JEE_RANK,100001,200000,50,PERCENT,TRUE,3
165,64,JEE_RANK,200001,300000,25,PERCENT,TRUE,4
166,64,BOARD_PERCENTAGE,95,100,50,PERCENT,TRUE,5
167,64,BOARD_PERCENTAGE,90,94.99,40,PERCENT,TRUE,6
168,64,BOARD_PERCENTAGE,80,89.99,25,PERCENT,TRUE,7
169,64,SPORTS,NATIONAL,NATIONAL,100,PERCENT,TRUE,8
170,64,SPORTS,DISTRICT,DISTRICT,50,PERCENT,TRUE,9
171,66,BOARD_PERCENTAGE,80,89.99,25,PERCENT,TRUE,1
172,66,SPORTS,NATIONAL,NATIONAL,100,PERCENT,TRUE,2
173,67,BOARD_PERCENTAGE,95,100,10,PERCENT,TRUE,1
174,67,BOARD_PERCENTAGE,90,94.99,5,PERCENT,TRUE,2
175,67,BOARD_PERCENTAGE,80,89.99,3,PERCENT,TRUE,3
176,71,JEE_PERCENTILE,97,100,100,PERCENT,TRUE,1
177,71,JEE_PERCENTILE,95,96.99,50,PERCENT,TRUE,2
178,71,JEE_PERCENTILE,93,94.99,25,PERCENT,TRUE,3
179,71,JEE_PERCENTILE,92,92.99,15,PERCENT,TRUE,4
180,71,JEE_PERCENTILE,90,91.99,10,PERCENT,TRUE,5
181,71,BOARD_PERCENTAGE,94,100,50,PERCENT,TRUE,6
182,71,BOARD_PERCENTAGE,90,93.99,25,PERCENT,TRUE,7
183,71,BOARD_PERCENTAGE,85,89.99,15,PERCENT,TRUE,8
184,70,JEE_PERCENTILE,97,100,100,PERCENT,TRUE,1
185,70,JEE_PERCENTILE,95,96.99,50,PERCENT,TRUE,2
186,70,JEE_PERCENTILE,93,94.99,25,PERCENT,TRUE,3
187,70,BOARD_PERCENTAGE,95,100,50,PERCENT,TRUE,4
188,70,BOARD_PERCENTAGE,90,94.99,25,PERCENT,TRUE,5
189,76,BOARD_PERCENTAGE,90,100,50,PERCENT,TRUE,2
190,76,BOARD_PERCENTAGE,80,89.99,25,PERCENT,TRUE,3
191,76,JEE_PERCENTILE,90,100,50,PERCENT,TRUE,1
192,76,SPORTS,NATIONAL,NATIONAL,50,PERCENT,TRUE,4
193,76,NCC,CERTIFIED,CERTIFIED,25,PERCENT,TRUE,5
194,77,BOARD_PERCENTAGE,95,100,100,PERCENT,TRUE,1
195,77,BOARD_PERCENTAGE,90,94.99,50,PERCENT,TRUE,2
196,77,BOARD_PERCENTAGE,75,89.99,25,PERCENT,TRUE,3
197,78,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,1
198,78,SPORTS,NATIONAL_MEDAL,NATIONAL_MEDAL,75,PERCENT,TRUE,2
199,78,SPORTS,NATIONAL_PARTICIPATION,NATIONAL_PARTICIPATION,50,PERCENT,TRUE,3
200,78,SPORTS,STATE_MEDAL,STATE_MEDAL,20,PERCENT,TRUE,4
201,78,SPORTS,STATE_PARTICIPATION,STATE_PARTICIPATION,10,PERCENT,TRUE,5
202,83,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,1
203,83,SPORTS,NATIONAL_MEDAL,NATIONAL_MEDAL,75,PERCENT,TRUE,2
204,83,SPORTS,NATIONAL_PARTICIPATION,NATIONAL_PARTICIPATION,50,PERCENT,TRUE,3
205,83,SPORTS,STATE_MEDAL,STATE_MEDAL,50,PERCENT,TRUE,4
206,86,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,1
207,86,SPORTS,NATIONAL_MEDAL,NATIONAL_MEDAL,75,PERCENT,TRUE,2
208,86,SPORTS,NATIONAL_PARTICIPATION,NATIONAL_PARTICIPATION,50,PERCENT,TRUE,3
209,86,SPORTS,STATE_MEDAL,STATE_MEDAL,50,PERCENT,TRUE,4
210,88,JEE_PERCENTILE,90,100,25,PERCENT,TRUE,1
211,88,JEE_PERCENTILE,80,89.99,15,PERCENT,TRUE,2
212,88,BOARD_PERCENTAGE,90,100,10,PERCENT,TRUE,3
213,88,BOARD_PERCENTAGE,80,89.99,5,PERCENT,TRUE,4
214,90,JEE_PERCENTILE,97,100,100,PERCENT,TRUE,1
215,90,JEE_PERCENTILE,94,96.99,75,PERCENT,TRUE,2
216,90,JEE_PERCENTILE,90,93.99,50,PERCENT,TRUE,3
217,90,JEE_PERCENTILE,85,89.99,25,PERCENT,TRUE,4
218,91,JEE_PERCENTILE,85,94.99,10,PERCENT,TRUE,1
219,91,JEE_PERCENTILE,70,84.99,7,PERCENT,TRUE,2
220,91,JEE_PERCENTILE,50,69.99,5,PERCENT,TRUE,3
221,91,BOARD_PERCENTAGE,90,100,10,PERCENT,TRUE,4
222,91,BOARD_PERCENTAGE,85,89.99,5,PERCENT,TRUE,5
223,91,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,6
224,91,SPORTS,NATIONAL,NATIONAL,75,PERCENT,TRUE,7
225,91,SPORTS,STATE,STATE,30,PERCENT,TRUE,8
226,91,NCC,CERTIFIED,CERTIFIED,10,PERCENT,TRUE,9
227,92,BOARD_PERCENTAGE,95,100,100,PERCENT,TRUE,1
228,92,BOARD_PERCENTAGE,90,94.99,75,PERCENT,TRUE,2
229,92,BOARD_PERCENTAGE,85,89.99,60,PERCENT,TRUE,3
230,92,BOARD_PERCENTAGE,80,84.99,50,PERCENT,TRUE,4
231,93,SPORTS,INTERNATIONAL,INTERNATIONAL,50,PERCENT,TRUE,1
232,93,SPORTS,NATIONAL,NATIONAL,35,PERCENT,TRUE,2
233,101,BOARD_PERCENTAGE,95,100,10,PERCENT,TRUE,1
234,101,BOARD_PERCENTAGE,90,94.99,10,PERCENT,TRUE,2
235,102,BOARD_PERCENTAGE,90,100,100,PERCENT,TRUE,1
236,102,BOARD_PERCENTAGE,80,89.99,75,PERCENT,TRUE,2
237,103,BOARD_PERCENTAGE,90,100,50,PERCENT,TRUE,1
238,104,BOARD_PERCENTAGE,90,100,100,PERCENT,TRUE,1
239,104,BOARD_PERCENTAGE,80,89.99,50,PERCENT,TRUE,2
240,105,BOARD_PERCENTAGE,90,100,90,PERCENT,TRUE,1
241,105,BOARD_PERCENTAGE,80,89.99,50,PERCENT,TRUE,2
